"filename", "language", "XML", "JSON", "Ini", "comment", "blank", "total"
"d:\hyper-engine-2025\Project.xml", "XML", 35, 0, 0, 22, 29, 86
"d:\hyper-engine-2025\assets\characters\bf-pixel.json", "JSON", 0, 65, 0, 0, 0, 65
"d:\hyper-engine-2025\assets\characters\bf.json", "JSON", 0, 64, 0, 0, 0, 64
"d:\hyper-engine-2025\assets\characters\dad.json", "JSON", 0, 64, 0, 0, 0, 64
"d:\hyper-engine-2025\assets\characters\duet.json", "JSON", 0, 97, 0, 0, 0, 97
"d:\hyper-engine-2025\assets\characters\gf-pixel.json", "JSON", 0, 76, 0, 0, 0, 76
"d:\hyper-engine-2025\assets\characters\gf.json", "JSON", 0, 75, 0, 0, 0, 75
"d:\hyper-engine-2025\assets\characters\senpai.json", "JSON", 0, 65, 0, 0, 0, 65
"d:\hyper-engine-2025\assets\data\blammed\blammed-easy.json", "JSON", 0, 1, 0, 0, 0, 1
"d:\hyper-engine-2025\assets\data\blammed\blammed-hard.json", "JSON", 0, 1, 0, 0, 0, 1
"d:\hyper-engine-2025\assets\data\blammed\blammed.json", "JSON", 0, 1, 0, 0, 0, 1
"d:\hyper-engine-2025\assets\data\blammed\events.json", "JSON", 0, 976, 0, 0, 0, 976
"d:\hyper-engine-2025\assets\data\bopeebo\bopeebo-easy.json", "JSON", 0, 810, 0, 0, 0, 810
"d:\hyper-engine-2025\assets\data\bopeebo\bopeebo-hard.json", "JSON", 0, 1, 0, 0, 0, 1
"d:\hyper-engine-2025\assets\data\bopeebo\bopeebo.json", "JSON", 0, 850, 0, 0, 0, 850
"d:\hyper-engine-2025\assets\data\bopeebo\events.json", "JSON", 0, 346, 0, 0, 0, 346
"d:\hyper-engine-2025\assets\data\cocoa\cocoa-easy.json", "JSON", 0, 1, 0, 0, 0, 1
"d:\hyper-engine-2025\assets\data\cocoa\cocoa-hard.json", "JSON", 0, 1, 0, 0, 0, 1
"d:\hyper-engine-2025\assets\data\cocoa\cocoa.json", "JSON", 0, 1, 0, 0, 0, 1
"d:\hyper-engine-2025\assets\data\cocoa\events.json", "JSON", 0, 1, 0, 0, 0, 1
"d:\hyper-engine-2025\assets\data\dad-battle\dad-battle-easy.json", "JSON", 0, 1, 0, 0, 0, 1
"d:\hyper-engine-2025\assets\data\dad-battle\dad-battle-hard.json", "JSON", 0, 1, 0, 0, 0, 1
"d:\hyper-engine-2025\assets\data\dad-battle\dad-battle.json", "JSON", 0, 1, 0, 0, 0, 1
"d:\hyper-engine-2025\assets\data\dad-battle\events.json", "JSON", 0, 248, 0, 0, 0, 248
"d:\hyper-engine-2025\assets\data\dreams of roses\dreams of roses-easy.json", "JSON", 0, 1, 0, 0, 0, 1
"d:\hyper-engine-2025\assets\data\dreams of roses\dreams of roses-hard.json", "JSON", 0, 758, 0, 0, 1, 759
"d:\hyper-engine-2025\assets\data\dreams of roses\dreams of roses.json", "JSON", 0, 1, 0, 0, 0, 1
"d:\hyper-engine-2025\assets\data\eggnog\eggnog-easy.json", "JSON", 0, 1, 0, 0, 0, 1
"d:\hyper-engine-2025\assets\data\eggnog\eggnog-hard.json", "JSON", 0, 1, 0, 0, 0, 1
"d:\hyper-engine-2025\assets\data\eggnog\eggnog.json", "JSON", 0, 1, 0, 0, 0, 1
"d:\hyper-engine-2025\assets\data\eggnog\events.json", "JSON", 0, 1, 0, 0, 0, 1
"d:\hyper-engine-2025\assets\data\fresh\events.json", "JSON", 0, 1, 0, 0, 0, 1
"d:\hyper-engine-2025\assets\data\fresh\fresh-easy.json", "JSON", 0, 1, 0, 0, 0, 1
"d:\hyper-engine-2025\assets\data\fresh\fresh-hard.json", "JSON", 0, 1, 0, 0, 0, 1
"d:\hyper-engine-2025\assets\data\fresh\fresh.json", "JSON", 0, 1, 0, 0, 0, 1
"d:\hyper-engine-2025\assets\data\high\events.json", "JSON", 0, 1, 0, 0, 0, 1
